user_id,preference_id,weight
1,speed,2
1,clean,0
1,calm,1
1,comfortable,5
1,service,4
1,capacity,1
2,speed,5
2,clean,2
2,calm,3
2,comfortable,0
2,service,2
2,capacity,5
3,speed,4
3,clean,5
3,calm,3
3,comfortable,4
3,service,1
3,capacity,3
4,speed,1
4,clean,2
4,calm,4
4,comfortable,5
4,service,5
4,capacity,5
5,speed,1
5,clean,4
5,calm,3
5,comfortable,3
5,service,2
5,capacity,2
6,speed,2
6,clean,4
6,calm,4
6,comfortable,5
6,service,4
6,capacity,3
7,speed,0
7,clean,2
7,calm,2
7,comfortable,1
7,service,2
7,capacity,2
8,speed,1
8,clean,1
8,calm,0
8,comfortable,5
8,service,1
8,capacity,4
9,speed,3
9,clean,5
9,calm,0
9,comfortable,5
9,service,0
9,capacity,1
10,speed,1
10,clean,1
10,calm,3
10,comfortable,4
10,service,1
10,capacity,4
11,speed,5
11,clean,0
11,calm,5
11,comfortable,3
11,service,3
11,capacity,4
12,speed,4
12,clean,2
12,calm,3
12,comfortable,1
12,service,5
12,capacity,4
13,speed,0
13,clean,5
13,calm,3
13,comfortable,3
13,service,2
13,capacity,2
14,speed,2
14,clean,0
14,calm,0
14,comfortable,0
14,service,1
14,capacity,1
15,speed,3
15,clean,0
15,calm,4
15,comfortable,4
15,service,2
15,capacity,2
16,speed,0
16,clean,1
16,calm,5
16,comfortable,4
16,service,2
16,capacity,1
17,speed,4
17,clean,1
17,calm,3
17,comfortable,3
17,service,0
17,capacity,0
18,speed,3
18,clean,5
18,calm,0
18,comfortable,4
18,service,3
18,capacity,1
19,speed,0
19,clean,5
19,calm,3
19,comfortable,2
19,service,4
19,capacity,1
20,speed,0
20,clean,1
20,calm,5
20,comfortable,3
20,service,0
20,capacity,4
21,speed,5
21,clean,5
21,calm,1
21,comfortable,3
21,service,3
21,capacity,5
22,speed,5
22,clean,0
22,calm,2
22,comfortable,2
22,service,4
22,capacity,4
23,speed,3
23,clean,5
23,calm,3
23,comfortable,4
23,service,3
23,capacity,4
24,speed,5
24,clean,1
24,calm,0
24,comfortable,0
24,service,4
24,capacity,5
25,speed,3
25,clean,3
25,calm,3
25,comfortable,2
25,service,1
25,capacity,5
26,speed,2
26,clean,4
26,calm,0
26,comfortable,1
26,service,2
26,capacity,4
27,speed,1
27,clean,5
27,calm,5
27,comfortable,1
27,service,2
27,capacity,1
28,speed,4
28,clean,4
28,calm,0
28,comfortable,4
28,service,5
28,capacity,0
29,speed,5
29,clean,2
29,calm,0
29,comfortable,1
29,service,3
29,capacity,3
30,speed,4
30,clean,1
30,calm,4
30,comfortable,1
30,service,0
30,capacity,0
31,speed,4
31,clean,4
31,calm,2
31,comfortable,3
31,service,5
31,capacity,3
32,speed,1
32,clean,0
32,calm,3
32,comfortable,0
32,service,0
32,capacity,2
33,speed,0
33,clean,1
33,calm,1
33,comfortable,2
33,service,5
33,capacity,1
34,speed,0
34,clean,5
34,calm,1
34,comfortable,1
34,service,1
34,capacity,3
35,speed,5
35,clean,5
35,calm,2
35,comfortable,2
35,service,2
35,capacity,4
36,speed,2
36,clean,0
36,calm,4
36,comfortable,1
36,service,2
36,capacity,5
37,speed,0
37,clean,3
37,calm,5
37,comfortable,2
37,service,5
37,capacity,5
38,speed,2
38,clean,0
38,calm,2
38,comfortable,3
38,service,3
38,capacity,5
39,speed,4
39,clean,5
39,calm,2
39,comfortable,1
39,service,0
39,capacity,1
40,speed,2
40,clean,3
40,calm,1
40,comfortable,5
40,service,2
40,capacity,4
41,speed,2
41,clean,0
41,calm,1
41,comfortable,5
41,service,0
41,capacity,5
42,speed,2
42,clean,3
42,calm,1
42,comfortable,4
42,service,4
42,capacity,1
43,speed,3
43,clean,5
43,calm,5
43,comfortable,2
43,service,0
43,capacity,0
44,speed,1
44,clean,2
44,calm,3
44,comfortable,2
44,service,5
44,capacity,4
45,speed,1
45,clean,4
45,calm,1
45,comfortable,0
45,service,5
45,capacity,4
46,speed,3
46,clean,4
46,calm,5
46,comfortable,2
46,service,0
46,capacity,0
47,speed,2
47,clean,2
47,calm,0
47,comfortable,5
47,service,4
47,capacity,2
48,speed,2
48,clean,0
48,calm,5
48,comfortable,1
48,service,5
48,capacity,4
49,speed,5
49,clean,4
49,calm,2
49,comfortable,1
49,service,3
49,capacity,2
50,speed,0
50,clean,2
50,calm,4
50,comfortable,2
50,service,0
50,capacity,4
51,speed,5
51,clean,0
51,calm,3
51,comfortable,4
51,service,2
51,capacity,1
52,speed,1
52,clean,3
52,calm,2
52,comfortable,3
52,service,1
52,capacity,1
53,speed,4
53,clean,0
53,calm,2
53,comfortable,2
53,service,1
53,capacity,3
54,speed,0
54,clean,5
54,calm,1
54,comfortable,0
54,service,0
54,capacity,3
55,speed,5
55,clean,2
55,calm,3
55,comfortable,1
55,service,5
55,capacity,5
56,speed,5
56,clean,2
56,calm,4
56,comfortable,2
56,service,1
56,capacity,1
57,speed,5
57,clean,5
57,calm,2
57,comfortable,5
57,service,4
57,capacity,0
58,speed,2
58,clean,1
58,calm,0
58,comfortable,0
58,service,5
58,capacity,2
59,speed,5
59,clean,2
59,calm,4
59,comfortable,2
59,service,4
59,capacity,3
60,speed,2
60,clean,5
60,calm,2
60,comfortable,1
60,service,5
60,capacity,1
61,speed,4
61,clean,1
61,calm,5
61,comfortable,5
61,service,5
61,capacity,5
62,speed,3
62,clean,0
62,calm,4
62,comfortable,4
62,service,3
62,capacity,0
63,speed,4
63,clean,4
63,calm,2
63,comfortable,0
63,service,4
63,capacity,1
64,speed,1
64,clean,1
64,calm,0
64,comfortable,1
